killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
AKM,20.0,211683,276931,41.0,212011,276908,328,23,328
Kar98k,22.0,551467,547210,24.0,552499,537728,1032,9482,9537
AKM,11.0,698523,338260,13.0,696234,341923,2289,3663,4319
AKM,5.0,586412,250545,4.0,569704,263654,16708,13109,21236
Kar98k,5.0,634534,326523,11.0,641103,317654,6569,8869,11036
AKM,8.0,445041,629473,24.0,444714,628062,327,1411,1448
AKM,5.0,523417,478900,12.0,523782,479637,365,737,822
AKM,24.0,169914,625916,25.0,170011,625908,97,8,97
AKM,22.0,370765,408048,19.0,370854,408457,89,409,418
AKM,18.0,720371,333863,11.0,719958,334233,413,370,554
AKM,5.0,588335,248761,6.0,565400,263902,22935,15141,27482
AKM,4.0,570943,264089,6.0,564486,266883,6457,2794,7035
AKM,1.0,511276,261420,4.0,512194,256072,918,5348,5426
AKM,8.0,513034,370178,23.0,510710,369494,2324,684,2422
AKM,23.0,509992,370593,8.0,510182,370782,190,189,267
AKM,4.0,502323,308300,7.0,506119,303133,3796,5167,6411
AKM,4.0,472310,314938,9.0,472709,315058,399,120,416
AKM,16.0,379908,425486,15.0,379563,425826,345,340,484
AKM,17.0,369274,428828,20.0,369354,428828,80,0,80
AKM,17.0,371278,428566,20.0,371491,428546,213,20,213
AKM,4.0,472106,315123,9.0,471241,313999,865,1124,1418
AKM,17.0,369617,428536,20.0,369406,428644,211,108,237
AKM,16.0,367512,424255,17.0,368259,424193,747,62,749
M24,2.0,269927,449227,3.0,266698,443512,3229,5715,6564
AKM,34.0,287137,454901,35.0,289872,451940,2735,2961,4030
AKM,29.0,372060,126792,36.0,372394,128144,334,1352,1392
AKM,40.0,341573,175352,44.0,341967,173573,394,1779,1822
M24,2.0,277060,452146,4.0,260841,447278,16219,4868,16933
Kar98k,33.0,443976,628216,41.0,435949,624859,8027,3357,8700
AKM,40.0,341671,176139,44.0,342210,176666,539,527,753
Kar98k,8.0,366327,165124,29.0,364341,152959,1986,12165,12326
AKM,20.0,345165,313872,45.0,344950,314723,215,851,877
M24,2.0,282389,453982,7.0,276405,435031,5984,18951,19873
AKM,28.0,618412,607077,5.0,619868,607328,1456,251,1477
Kar98k,20.0,332709,378924,21.0,323644,371183,9065,7741,11920
AKM,14.0,464657,356326,20.0,471166,349973,6509,6353,9095
AKM,11.0,507067,313558,12.0,506837,310998,230,2560,2570
AKM,3.0,497192,279712,18.0,497560,280014,368,302,476
AKM,8.0,492874,332768,11.0,503758,328890,10884,3878,11554
AKM,12.0,506746,310978,10.0,505531,309152,1215,1826,2193
Kar98k,2.0,548428,369202,17.0,549387,382601,959,13399,13433
AWM,11.0,507915,347862,10.0,488117,344878,19798,2984,20021
AKM,27.0,621388,297031,3.0,621149,297176,239,145,279
AKM,26.0,622888,371921,5.0,623017,371670,129,251,282
AKM,8.0,172181,591831,21.0,171763,592428,418,597,728
AKM,2.0,533699,380327,,534269,378364,570,1963,2044
AKM,8.0,155024,623295,21.0,154950,623413,74,118,139
AKM,25.0,507561,381937,19.0,507814,381429,253,508,567
AKM,25.0,507548,380965,19.0,508065,380249,517,716,883
AKM,5.0,568151,293063,23.0,568072,293380,79,317,326
Kar98k,6.0,324841,304751,8.0,340588,292407,15747,12344,20008
AKM,8.0,361956,292953,6.0,337450,305809,24506,12856,27673
AKM,8.0,380523,283116,25.0,381133,284136,610,1020,1188
AKM,6.0,364843,435359,20.0,0,0,364843,435359,568021
AKM,22.0,638561,268973,13.0,638388,269399,173,426,459
AKM,17.0,450129,596665,24.0,450794,597091,665,426,789
AKM,6.0,365199,435011,20.0,0,0,365199,435011,567983
AKM,1.0,473107,401064,25.0,475557,400529,2450,535,2507
Kar98k,2.0,440497,636812,17.0,442295,632225,1798,4587,4926
Kar98k,7.0,309650,509512,19.0,320569,484977,10919,24535,26854
AKM,15.0,550679,559017,20.0,552936,543311,2257,15706,15867
Kar98k,1.0,546252,671332,2.0,543525,677768,2727,6436,6989
AKM,16.0,215965,273004,45.0,216090,274710,125,1706,1710
AKM,39.0,732735,436154,40.0,733685,436430,950,276,989
