player_dist_ride,player_dist_walk,player_dmg,player_kills,team_id,team_placement,top3
0.0,576.591553,0,0,100051,68,0
0.0,184.263123,0,0,100052,82,0
0.0,1026.3383800000001,200,2,100058,22,0
0.0,1244.04822,171,1,100069,41,0
29.592370000000003,3282.99854,0,0,100074,26,0
0.0,26.621284499999998,100,1,100075,95,0
0.0,233.221146,472,5,100078,60,0
0.0,1630.88049,136,0,100081,21,0
5340.828,3430.6303700000003,474,4,100085,2,1
0.0,126.22238899999999,19,0,100087,89,0
1193.58215,852.7986,6,0,100094,50,0
1779.4234600000002,2370.966,507,4,100001,1,1
0.0,470.0304,192,2,100005,45,0
0.0,460.3506,375,4,100006,60,0
0.0,70.22448,0,0,100010,94,0
3185.60278,776.8864,0,0,100013,29,0
0.0,2060.65454,89,0,100026,32,0
0.0,1003.5382699999999,0,0,100033,50,0
0.0,3903.65479,505,6,100037,13,0
2852.2788100000002,3889.23145,204,3,100048,8,0
1877.42688,1060.16785,130,1,100050,39,0
0.0,122.62636599999999,0,0,100051,73,0
0.0,0.0,0,0,100052,95,0
0.0,318.437683,17,0,100053,76,0
803.5417480000001,2101.23047,111,1,100055,15,0
459.06375099999997,1087.1322,21,0,100057,59,0
0.0,364.9588,26,0,100064,64,0
0.0,2730.8252,0,0,100065,26,0
2708.191,350.95413199999996,27,0,100067,56,0
0.0,13.266197199999999,91,0,100072,87,0
1902.0288100000002,815.7804,273,3,100076,42,0
0.0,143.4953,100,1,100080,68,0
0.0,166.1201,0,0,100087,86,0
0.0,171.49688700000002,0,0,100091,81,0
0.0,23.1524944,0,0,100096,96,0
0.0,1231.49487,199,2,100000,52,0
0.0,177.156677,0,0,100008,71,0
0.0,27.736145,49,0,100009,91,0
0.0,1252.7504900000001,44,0,100011,34,0
0.0,199.001465,9,0,100012,92,0
2675.15552,3107.65747,727,7,100018,5,0
0.0,4010.37378,0,0,100027,20,0
199.19664,495.7467,94,0,100028,66,0
0.0,15.959137900000002,0,0,100031,85,0
0.0,21.502110000000002,22,0,100034,93,0
0.0,212.955,100,1,100036,65,0
0.0,428.839966,260,2,100038,35,0
0.0,168.082031,24,0,100042,82,0
0.0,3082.8179999999998,20,0,100046,16,0
0.0,185.019958,87,0,100054,57,0
0.0,380.233521,100,1,100063,51,0
0.0,104.00344799999999,0,0,100066,84,0
0.0,35.2674255,11,0,100068,75,0
3867.0222200000003,1109.0459,440,2,100069,24,0
0.0,257.7951,300,3,100082,69,0
0.0,2336.63477,285,2,100086,6,0
2896.2736800000002,1344.95581,198,2,100092,28,0
3855.8088399999997,877.27594,283,2,100095,23,0
101.61640899999999,694.454163,0,0,100097,14,0
0.0,134.517044,100,1,100002,80,0
0.0,36.2910652,41,0,100004,90,0
0.0,582.7478,47,0,100007,58,0
3168.51563,338.025543,6,0,100016,49,0
0.0,1186.8324,119,1,100017,46,0
2471.33569,155.30152900000002,20,0,100021,72,0
4797.22168,1407.00159,11,0,100024,17,0
0.0,10.5187435,71,0,100032,97,0
3531.16431,3342.88086,136,1,100039,19,0
0.0,12.1254549,38,0,100040,99,0
0.0,0.0,0,0,100041,88,0
1212.8034699999998,2429.3088399999997,345,2,100043,7,0
299.992279,926.4032589999999,107,1,100044,41,0
0.0,85.18379,34,0,100047,83,0
3792.36865,1709.2979999999998,193,2,100049,21,0
0.0,1672.64771,0,0,100056,40,0
0.0,480.640717,32,0,100058,55,0
0.0,14.269619,18,0,100062,89,0
1499.34155,3886.3070000000002,275,3,100073,18,0
0.0,463.868958,100,1,100075,38,0
0.0,973.6376,22,0,100077,54,0
0.0,490.5656,164,1,100078,61,0
0.0,4217.51074,231,2,100084,2,1
2008.8106699999998,1683.005,362,4,100085,25,0
243.898315,3484.7312,252,3,100088,10,0
0.0,0.0,0,0,100089,100,0
0.0,310.129578,0,0,100090,48,0
7697.831,3962.026,228,2,100093,12,0
6160.43164,1876.00061,260,1,100098,3,1
0.0,84.66771999999999,59,0,100003,79,0
0.0,378.856445,34,0,100014,53,0
1147.5289300000002,537.177368,100,1,100015,43,0
0.0,145.718277,147,0,100019,47,0
0.0,343.6406,222,1,100020,70,0
0.0,510.5021,0,0,100022,63,0
2053.4365199999997,1197.98767,117,1,100023,37,0
0.0,16.826765100000003,0,0,100025,98,0
0.0,629.261169,225,2,100029,44,0
0.0,239.74195899999998,0,0,100030,67,0
0.0,119.633232,0,0,100035,73,0
0.0,3797.8959999999997,470,3,100045,9,0
3761.949,1504.6444099999999,123,1,100059,36,0
0.0,1310.57532,261,2,100060,31,0
3702.82227,1114.4819300000001,0,0,100061,11,0
0.0,269.104584,0,0,100070,85,0
0.0,33.2268829,0,0,100071,95,0
1095.17834,2391.17017,412,4,100074,4,0
0.0,93.63611999999999,68,0,100079,78,0
4751.521479999999,1816.0882600000002,95,1,100081,22,0
0.0,669.7402,197,1,100083,62,0
2230.28662,1093.15918,304,2,100094,30,0
376.545929,1969.2074,0,0,100099,27,0
0.0,710.97406,0,0,100015,49,0
2302.58447,4043.38818,350,3,100024,1,1
4335.0776399999995,2910.296,392,5,100026,6,0
1547.02063,798.410461,223,3,100030,42,0
0.0,288.6306,138,2,100032,62,0
1388.28784,2707.82275,426,3,100033,10,0
0.0,63.39646,61,0,100034,96,0
1655.56152,2157.05542,6,0,100035,26,0
0.0,364.035034,101,0,100036,72,0
1162.74072,202.322327,0,0,100037,61,0
2865.02271,1364.1134,267,3,100041,23,0
3213.066,1030.82,355,4,100042,22,0
0.0,1405.69019,139,1,100045,38,0
0.0,679.782654,275,3,100049,52,0
411.31106600000004,837.4704,0,0,100052,51,0
0.0,0.0,0,0,100056,99,0
0.0,45.89055,0,0,100060,98,0
1602.3501,688.9331,0,0,100061,43,0
3644.565,2064.85742,265,1,100066,13,0
0.0,10.88,54,0,100070,95,0
1642.77161,3790.79761,110,1,100072,39,0
7372.616,3589.3244600000003,249,1,100077,9,0
4447.459470000001,4125.82275,315,3,100080,2,1
0.0,60.369274100000005,61,0,100087,90,0
2108.01465,3148.45752,178,1,100094,15,0
2047.0708,2131.0896,152,2,100095,37,0
2548.778,2168.6552699999997,203,2,100097,7,0
0.0,171.826355,86,0,100002,60,0
2041.9858399999998,424.085571,38,0,100014,40,0
0.0,3105.6538100000002,290,2,100025,4,0
1946.0598100000002,1089.02393,385,3,100028,28,0
2803.5122100000003,3636.887,8,0,100029,12,0
4079.3713399999997,1745.53577,116,1,100043,20,0
0.0,220.77548199999998,0,0,100054,66,0
0.0,72.8310852,50,1,100058,83,0
0.0,606.3242,355,3,100062,54,0
0.0,408.627625,200,2,100064,68,0
0.0,144.20823700000003,0,0,100067,73,0
0.0,715.3695,20,0,100071,50,0
0.0,134.9813,0,0,100079,76,0
0.0,451.866455,64,1,100081,57,0
0.0,111.1784,10,0,100083,74,0
0.0,186.584885,0,0,100085,36,0
0.0,48.65623,87,0,100086,87,0
5900.86865,1372.56519,178,2,100088,19,0
0.0,237.92012000000003,100,1,100092,64,0
3742.5647,1796.8551,0,0,100096,27,0
0.0,76.94803,64,0,100000,94,0
0.0,128.4925,200,2,100004,89,0
0.0,114.137482,0,0,100005,84,0
0.0,1021.3557699999999,123,1,100006,48,0
0.0,255.448883,0,0,100012,86,0
0.0,53.361446400000005,200,2,100013,91,0
0.0,102.090889,0,0,100016,92,0
0.0,143.018784,81,0,100017,80,0
0.0,102.06221,124,1,100021,81,0
2113.66772,2472.0515100000002,260,2,100022,3,1
1892.00513,2514.79,54,1,100046,21,0
5532.063,2307.514,74,1,100047,8,0
1625.57544,1759.0528600000002,14,0,100053,31,0
3643.3557100000003,2690.725,113,0,100063,25,0
0.0,597.3474,190,2,100068,47,0
0.0,1375.3114,0,0,100075,41,0
0.0,197.933167,0,0,100076,75,0
3594.4655799999996,1598.61841,206,1,100078,14,0
0.0,114.207054,81,0,100082,69,0
0.0,605.6496,306,4,100089,59,0
2467.9577600000002,2741.9390000000003,482,4,100091,16,0
0.0,1249.52771,200,2,100093,44,0
0.0,617.0801389999999,0,0,100099,65,0
2791.4267600000003,1585.31824,123,1,100001,34,0
0.0,1626.71667,0,0,100003,30,0
0.0,534.18396,34,0,100007,70,0
2172.9978,468.47875999999997,0,0,100008,46,0
8377.209,2776.5913100000002,17,0,100009,18,0
2937.3459999999995,1010.34766,2,0,100010,29,0
0.0,130.444824,34,0,100011,77,0
0.0,2211.8015100000002,150,2,100018,24,0
0.0,2105.9953600000003,23,0,100019,33,0
0.0,666.0864,0,0,100020,58,0
0.0,148.209274,0,0,100023,79,0
0.0,349.797272,0,0,100027,63,0
2226.30762,3124.56543,62,0,100038,11,0
2829.08447,4130.058,347,4,100039,5,0
6275.15771,1570.60657,134,1,100040,17,0
1570.59277,497.5695,69,0,100044,55,0
0.0,131.934845,17,0,100048,88,0
0.0,86.216095,0,0,100050,82,0
1867.2327899999998,409.1786,27,0,100051,53,0
0.0,25.1109734,0,0,100055,67,0
0.0,975.3778,0,0,100057,45,0
0.0,519.6312,165,1,100059,56,0
0.0,171.750046,195,1,100065,78,0
0.0,19.485096,0,0,100069,99,0
0.0,107.39447,0,0,100073,85,0
0.0,303.8521,38,1,100074,71,0
0.0,58.6500053,156,1,100084,93,0
0.0,22.31316,30,0,100090,97,0
4501.7963899999995,1654.5815400000001,0,0,100098,32,0
346.9939,3052.949,415,2,100010,13,0
2847.36841,1463.75818,188,1,100014,15,0
0.0,422.52477999999996,0,0,100016,51,0
933.6394650000001,2609.5170000000003,61,0,100019,38,0
2109.6096199999997,4259.18,217,2,100028,14,0
6260.84131,2262.25854,1016,8,100030,1,1
2199.125,3033.38184,403,4,100032,2,1
2459.78687,1969.42908,100,1,100043,25,0
0.0,41.5457726,47,0,100044,96,0
0.0,322.09274300000004,0,0,100047,81,0
0.0,2307.18823,99,1,100049,19,0
0.0,42.29694,21,0,100050,88,0
0.0,15.923736600000002,0,0,100051,98,0
0.0,1611.64282,214,2,100054,6,0
0.0,495.042175,65,0,100056,71,0
0.0,2168.2207,384,3,100060,30,0
4614.106,1704.5411399999998,100,1,100062,18,0
0.0,2048.798,100,1,100063,26,0
3140.44287,976.633057,0,0,100065,45,0
833.9265,630.6307370000001,106,1,100067,61,0
187.807343,351.700378,0,0,100068,68,0
2594.8579999999997,1831.701,200,1,100076,23,0
3318.91064,940.294861,0,0,100078,39,0
0.0,207.360016,100,1,100090,74,0
0.0,231.1765,0,0,100091,52,0
0.0,27.6610832,80,0,100092,90,0
0.0,56.529155700000004,0,0,100094,97,0
1312.3256800000001,4176.052729999999,275,3,100098,24,0
0.0,210.156036,130,0,100099,72,0
342.1657,1105.37842,173,1,100000,49,0
0.0,130.02246100000002,259,2,100002,76,0
0.0,945.9316,150,1,100003,44,0
0.0,269.150574,459,3,100004,60,0
0.0,44.420097399999996,0,0,100006,95,0
1686.924,2398.34033,164,1,100008,4,0
266.56723,670.974854,0,0,100009,57,0
